,feature_num,ind_scores,avg_score,stdev,ci68,yerr,features
0,10,"[0.33749999999999997, 0.20833333333333331, 0.32916666666666666, 0.25, 0.3125, 0.33749999999999997, 0.32916666666666666, 0.325, 0.325, 0.36666666666666664]",0.3120833333333334,0.044505383569481416,"(0.26782460379738876, 0.356342062869278)",0.04425872953594462,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH']]"
1,11,"[0.3541666666666667, 0.36666666666666664, 0.325, 0.3416666666666666, 0.3625, 0.3541666666666667, 0.3541666666666667, 0.3125, 0.36666666666666664, 0.4875]",0.36249999999999993,0.04495367986420392,"(0.3177954586797548, 0.4072045413202451)",0.04470454132024515,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G']]"
2,12,"[0.3625, 0.39999999999999997, 0.4041666666666667, 0.375, 0.35, 0.3541666666666667, 0.325, 0.35, 0.35, 0.3416666666666666]",0.36125,0.023793819225448723,"(0.33758804889958477, 0.3849119511004153)",0.023661951100415274,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8']]"
3,13,"[0.2625, 0.3958333333333333, 0.36666666666666664, 0.3541666666666667, 0.325, 0.4083333333333333, 0.3, 0.2625, 0.3125, 0.4041666666666667]",0.33916666666666667,0.05234766258179803,"(0.2871091209445934, 0.39122421238873994)",0.05205754572207327,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7']]"
4,14,"[0.2875, 0.42916666666666664, 0.31666666666666665, 0.31666666666666665, 0.325, 0.33749999999999997, 0.275, 0.3125, 0.275, 0.31666666666666665]",0.31916666666666665,0.041758232721225155,"(0.27763986294813686, 0.3606934703851965)",0.04152680371852982,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD']]"
5,15,"[0.3541666666666667, 0.3916666666666666, 0.4583333333333333, 0.3833333333333333, 0.3041666666666667, 0.5, 0.35833333333333334, 0.4583333333333333, 0.3541666666666667, 0.4083333333333333]",0.3970833333333333,0.05679672574678539,"(0.3406013816739402, 0.4535652849927264)",0.0564819516593931,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF']]"
6,16,"[0.3541666666666667, 0.37916666666666665, 0.3833333333333333, 0.39583333333333337, 0.4083333333333333, 0.44583333333333336, 0.37083333333333335, 0.4333333333333333, 0.42083333333333334, 0.39166666666666666]",0.3983333333333333,0.027271780286589282,"(0.3712126964381703, 0.4254539702284964)",0.02712063689516306,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1']]"
7,17,"[0.475, 0.31666666666666665, 0.32916666666666666, 0.32916666666666666, 0.37916666666666665, 0.4541666666666666, 0.4041666666666666, 0.37916666666666665, 0.37083333333333335, 0.37916666666666665]",0.38166666666666665,0.049342904476958195,"(0.3325972263290898, 0.4307361070042436)",0.0490694403375769,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1']]"
8,18,"[0.425, 0.5, 0.5, 0.42916666666666664, 0.3958333333333333, 0.4333333333333333, 0.39166666666666666, 0.3541666666666667, 0.4083333333333333, 0.4708333333333333]",0.43083333333333335,0.04511559227879721,"(0.38596777693600637, 0.4756988897306603)",0.04486555639732698,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD']]"
9,19,"[0.325, 0.4708333333333333, 0.35416666666666663, 0.49583333333333335, 0.37916666666666665, 0.4083333333333333, 0.39166666666666666, 0.35833333333333334, 0.39166666666666666, 0.4083333333333333]",0.3983333333333333,0.04934290447695821,"(0.3492638929957564, 0.44740277367091025)",0.04906944033757693,"[['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422'], ['TAU', 'RARR2', 'AMYP', 'HV69D', 'CRIS3', '1433Z', 'SV2A', 'AK1C1', 'SERC', 'TRH', '1433G', 'ATS8', 'CO7', 'FMOD', 'MYDGF', 'SCUB1', 'PGK1', 'GUAD', 'A0A2R8Y422']]"
